id;order_staff;last_name;first_name;job_type;unit_name
1;24637;Turcotte;Sabryna;Proactive Soft Sahara;Extension Dakota
2;2193;Funk;Sabryna;Steel;software invoice Soft
3;61964;Konopelski;Ilene;Baby Berkshire robust;target Usability
4;61743;Lockman;Boris;Decentralized Infrastructure fuchsia;Iranian
5;60113;Bruen;Carley;standardization Direct rich;THX yellow Games
6;42478;Carter;London;Ways;hacking
7;66703;Kshlerin;Stephan;success Street;initiative
8;74317;Funk;Rebecca;Granite XSS;Alley
9;7971;Considine;Jerald;enhance;Identity
10;33875;Koepp;Hollie;Small calculating;whiteboard Organic Georgia
